mode,issue_hour,lead_hour_bin,subset,points,independent_days,crps,coverage,width,interval_score,mae,raw_mae,center_mae,rmse,raw_rmse,center_rmse
binned,6,16,zero_pv,2004,334,0.10893764355424392,0.9101796407185628,0.2083712321341616,0.760154029373337,0.1494003087065337,0.0,0.2508809832955057,0.3496573093326279,0.0,0.5494246644827092
binned,6,17,all,2004,334,0.10893764355424392,0.9101796407185628,0.2083712321341616,0.760154029373337,0.1494003087065337,0.0,0.2508809832955057,0.3496573093326279,0.0,0.5494246644827092
binned,6,17,zero_pv,2004,334,0.10893764355424392,0.9101796407185628,0.2083712321341616,0.760154029373337,0.1494003087065337,0.0,0.2508809832955057,0.3496573093326279,0.0,0.5494246644827092
binned,6,18,all,2004,334,0.10893764355424392,0.9101796407185628,0.2083712321341616,0.760154029373337,0.1494003087065337,0.0,0.2508809832955057,0.3496573093326279,0.0,0.5494246644827092
binned,6,18,zero_pv,2004,334,0.10893764355424392,0.9101796407185628,0.2083712321341616,0.760154029373337,0.1494003087065337,0.0,0.2508809832955057,0.3496573093326279,0.0,0.5494246644827092
binned,12,0,all,24048,334,52.767167297267086,0.8463489687292083,276.218761428377,421.59090894614667,72.72160041355296,98.60043487954637,84.1278480549967,139.6500749345778,166.15767162099814,150.81491039695726
binned,12,0,daylight,13278,334,94.52225973091367,0.8073505045940653,497.9583323918656,755.6667581657516,130.23478246781394,171.409079277125,147.56426742727655,187.54728122422236,220.06633709170097,200.77492167504198
binned,12,0,zero_pv,10770,334,1.2886048707154052,0.8944289693593315,2.84290040208166,9.719123807993098,1.8153765215867603,8.83690838826989,5.919048015522963,13.446834572211241,44.03436766987302,33.003927414931404
binned,12,1,all,2004,334,129.63991389224788,0.8413173652694611,691.7218211883409,1054.3434758728663,178.93561558408615,178.19357015136399,202.49790877412158,240.12399602735297,237.74411917188823,265.7977623463415
binned,12,1,daylight,2004,334,129.63991389224788,0.8413173652694611,691.7218211883409,1054.3434758728663,178.93561558408615,178.19357015136399,202.49790877412158,240.12399602735297,237.74411917188823,265.7977623463415
binned,12,2,all,2004,334,134.19366279371792,0.8403193612774451,716.9196171533137,1065.8453540462003,184.08622595582457,182.108216126081,179.2062822835054,240.64688897747234,234.96230292022847,233.85522389298683
binned,12,2,daylight,2004,334,134.19366279371792,0.8403193612774451,716.9196171533137,1065.8453540462003,184.08622595582457,182.108216126081,179.2062822835054,240.64688897747234,234.96230292022847,233.85522389298683
binned,12,3,all,2004,334,125.37472835784705,0.8458083832335329,680.5076853111482,1003.8403653481912,172.82148443665258,185.0860449101794,167.32238432105495,225.66488655472816,236.5212260189414,219.53492174721794
binned,12,3,daylight,2004,334,125.37472835784705,0.8458083832335329,680.5076853111482,1003.8403653481912,172.82148443665258,185.0860449101794,167.32238432105495,225.66488655472816,236.5212260189414,219.53492174721794
binned,12,4,all,2004,334,109.44508869186821,0.8468063872255489,573.1912279083577,858.8285793502786,151.03783029106495,185.6604969893548,149.1380055657044,197.6885943894624,229.88954531463173,194.82901774346365
binned,12,4,daylight,2004,334,109.44508869186821,0.8468063872255489,573.1912279083577,858.8285793502786,151.03783029106495,185.6604969893548,149.1380055657044,197.6885943894624,229.88954531463173,194.82901774346365
binned,12,5,all,2004,334,74.30373716648948,0.8403193612774451,392.41259998227184,604.3144700931592,102.53368124483812,181.7124108782435,121.74778594352358,137.88744306937525,210.6972650988234,154.35727165849758
binned,12,5,daylight,1984,334,74.96370316909776,0.8417338709677419,396.03075267888573,609.8220594532837,103.420473616817,182.22536923723115,122.33185454061466,138.5714635605021,211.3468466937168,154.99846881444796
binned,12,5,zero_pv,20,20,8.835109707751231,0.7,33.491852478157455,57.96160556880079,14.563877944537108,130.8269416666669,63.80818111208741,15.933426905275773,131.13905011311445,64.4131324639076
binned,12,6,all,2004,334,43.41438310197288,0.7854291417165669,198.97809030453618,340.6607977803521,59.90633467079475,174.9307008067199,106.18693652624778,86.51737633795793,210.67263330342672,142.7488623781919
binned,12,6,daylight,1582,334,51.91705781185176,0.7597977243994943,244.80437605261855,408.40482567379786,71.47416021272744,191.60740694795618,120.13954127189767,94.70026768290924,221.27804127108024,151.38749836903742
binned,12,6,zero_pv,422,152,11.5394271990619,0.8815165876777251,27.183815296322624,86.70095861582152,16.540694842980503,112.41281190758303,53.88120025227093,43.888464199283845,164.95328715138925,104.17165991019928
binned,12,7,all,2004,334,16.201889075537803,0.7305389221556886,59.50906234422222,127.31749911870746,22.457375792548,95.26673924650703,82.0206544779955,44.16785293904835,148.33181783076975,131.32252689042897
